"","ssp","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"ssp126--ACCESS-CM2--2075--2048","ssp126",0.32,0.54,0,89,0.2,57,63,84.43,0.2,0.1,0,0.4,20.533069610521,148
"ssp126--ACCESS-CM2--2075--2049","ssp126",0.37,0.24,0.2,97,0.1,61,67,88.45,0.1,0.4,0.2,0.2,21.1943385072577,149
"ssp126--ACCESS-CM2--2075--2050","ssp126",0.44,0.2,0,97,0.1,49,55,71.15,0.4,0.1,0.5,0.1,17.7303303102943,150
"ssp126--ACCESS-CM2--2075--2051","ssp126",0.27,0.26,0,96,0,50,56,74.62,0.2,0.5,0.2,0.35,19.9613984126975,151
"ssp126--ACCESS-CM2--2075--2052","ssp126",0.4,0.43,0,104,0,49,55,76.21,0.1,0.1,0.2,0,19.1127741082083,152
"ssp126--ACCESS-CM2--2075--2053","ssp126",0.21,0.19,0,111,0,56,62,80.11,0.1,0,0.2,0.2,19.7657963709352,153
"ssp126--ACCESS-CM2--2075--2054","ssp126",0.49,0.39,0,102,0.3,54,60,82.42,0,0,0.1,0.6,20.5911381149062,154
"ssp126--ACCESS-CM2--2075--2055","ssp126",0.38,0.23,0,101,0,56,62,76.93,0.1,0.3,0,0.25,20.1009661184536,155
"ssp126--ACCESS-CM2--2075--2056","ssp126",0.31,0.33,0,112,0,75,81,93.74,0,0.4,0,0,20.717951211653,156
"ssp126--ACCESS-CM2--2075--2057","ssp126",0.39,0.22,0,113,0,48,54,77.63,0.7,0.8,0.3,0.1,19.6444234867682,157
"ssp126--ACCESS-CM2--2075--2058","ssp126",0.29,0.21,0,92,0.1,68,74,91.49,0,0.5,0.2,0.05,20.4848131090907,158
"ssp126--ACCESS-CM2--2075--2059","ssp126",0.35,0.36,0,112,0.5,59,65,80.18,0,0.1,0,0.1,20.3511733390032,159
"ssp126--ACCESS-CM2--2075--2060","ssp126",0.2,0.28,0,100,0.1,65,71,81.52,0.2,0.5,0,0.25,20.5885723004751,160
"ssp126--ACCESS-CM2--2075--2061","ssp126",0.37,0.45,0,99,0,58,64,84.44,0.6,0,0,0.2,18.9979617573881,161
"ssp126--ACCESS-CM2--2075--2062","ssp126",0.26,0.39,0,81,0,45,51,76.11,0.7,0.2,0,0.1,18.980792128402,162
"ssp126--ACCESS-CM2--2075--2063","ssp126",0.22,0.22,0,102,0,60,66,80.91,0,0.6,0.2,0.5,20.9956626599175,163
"ssp126--ACCESS-CM2--2075--2064","ssp126",0.42,0.58,0,99,0.1,46,52,76.54,0.9,0.2,0.4,0.1,19.774122284287,164
"ssp126--ACCESS-CM2--2075--2065","ssp126",0.17,0.24,0,82,0.3,51,57,83.12,0.2,0.5,0.2,0.15,19.848486717553,165
"ssp126--ACCESS-CM2--2075--2066","ssp126",0.25,0.55,0,95,0.2,74,80,95.81,0.1,0.7,0.1,0.5,22.5517632709102,166
"ssp126--ACCESS-CM2--2075--2067","ssp126",0.68,0.49,0,102,0,51,65,72.89,0.1,0.1,0.1,0,19.7854751147469,167
"ssp126--ACCESS-CM2--2075--2068","ssp126",0.19,0.35,0,100,0.1,66,72,87.28,0.4,0.4,0.1,0,20.0409570187056,168
"ssp126--ACCESS-CM2--2075--2069","ssp126",0.56,0.82,0,103,0,68,74,89.69,0,0.2,0,0.7,21.6138803154734,169
"ssp126--ACCESS-CM2--2075--2070","ssp126",0.3,0.33,0,107,0.1,44,51,73.44,0.9,0.2,0.2,0.3,19.5466528095188,170
"ssp126--ACCESS-CM2--2075--2071","ssp126",0.39,0.48,0,100,0.3,51,57,76.83,0.1,0.1,0,0.05,18.9520959082737,171
"ssp126--ACCESS-CM2--2075--2072","ssp126",0.48,0.43,0,102,0.1,57,63,78.82,0.2,0.1,0.4,0.05,19.7877655086687,172
"ssp126--ACCESS-CM2--2075--2073","ssp126",0.24,0.24,0,105,0.2,77,83,87.56,0,0.5,0,0.25,22.6928884603465,173
"ssp126--ACCESS-CM2--2075--2074","ssp126",0.17,0.2,0,102,0.1,46,52,69.94,1,0.4,0.2,0,17.2202175960649,174
"ssp126--ACCESS-CM2--2075--2075","ssp126",0.13,0.21,0,85,0.1,52,58,78.87,0.4,0.3,0.1,0.2,19.6269787588051,175
"ssp126--ACCESS-CM2--2075--2076","ssp126",0.2,0.21,0,89,0.4,52,58,80.94,0.8,0.2,0.2,0.2,19.1919003719055,176
"ssp126--ACCESS-CM2--2075--2077","ssp126",0.31,0.23,0,99,0,58,64,86.36,0.4,0.3,0.1,0.65,21.2534120523103,177
"ssp126--ACCESS-CM2--2075--2078","ssp126",0.24,0.24,0,109,0,63,69,87.56,0,0,0,0,20.4565329781805,178
"ssp126--ACCESS-CM2--2075--2079","ssp126",0.38,0.49,0,102,0.1,49,55,76.77,0.2,0.3,0,0.4,20.5377132754353,179
"ssp126--ACCESS-CM2--2075--2080","ssp126",0.11,0.32,0,102,0.3,68,74,84.75,0.3,1,0.1,0.3,20.8127160892908,180
"ssp126--ACCESS-CM2--2075--2081","ssp126",0.25,0.36,0,107,0.1,71,77,91.72,0.7,0.4,0.1,0,18.7131160366417,181
"ssp126--ACCESS-CM2--2075--2082","ssp126",0.3,0.26,0,99,0.1,46,66,73.58,0.2,0.4,0.4,0.05,20.2569538567879,182
"ssp126--ACCESS-CM2--2075--2083","ssp126",0.24,0.42,0,101,0,54,67,82.13,0.1,0.4,0.1,0,18.4641690980741,183
"ssp126--ACCESS-CM2--2075--2084","ssp126",0.46,0.5,0,97,0.2,77,89,97.03,0.1,0.3,0.2,0.2,21.201622748998,184
"ssp126--ACCESS-CM2--2075--2085","ssp126",0.43,0.46,0,101,0.2,76,82,95.28,0.1,0.5,0.1,0.35,21.5586436123535,185
"ssp126--ACCESS-CM2--2075--2086","ssp126",0.27,0.36,0,95,0.1,71,82,92.45,0,0.3,0.1,0.2,22.9009944067962,186
"ssp126--ACCESS-CM2--2075--2087","ssp126",0.38,0.43,0,98,0.1,69,75,87.01,0.2,0.4,0,0.05,20.3640408028449,187
"ssp126--ACCESS-CM2--2075--2088","ssp126",0.65,0.24,0,101,0.1,51,58,79,0.7,0.3,0.1,0.2,19.6902242075365,188
"ssp126--ACCESS-CM2--2075--2089","ssp126",0.31,0.42,0,93,0.5,63,69,88.74,0.3,0.2,0.1,0,17.7482790310877,189
"ssp126--ACCESS-CM2--2075--2090","ssp126",0.36,0.8,0,113,0.1,68,74,88.36,0.1,0,0.3,0.05,20.8776800579397,190
"ssp126--ACCESS-CM2--2075--2091","ssp126",0.21,0.27,0,98,0,68,74,93.3,0.3,0.5,0,0.05,19.7064223591992,191
"ssp126--ACCESS-CM2--2075--2092","ssp126",0.23,0.43,0,109,0.4,60,66,80.63,0.1,0.1,0,0.15,20.2206632111327,192
"ssp126--ACCESS-CM2--2075--2093","ssp126",0.07,0.21,0,98,0.2,59,65,76.79,1,0.3,0.2,0.4,19.1726094558284,193
"ssp126--ACCESS-CM2--2075--2094","ssp126",0.05,0.49,0,106,0.2,55,61,83.54,0.1,0,0.1,0.1,21.1450447898037,194
"ssp126--ACCESS-CM2--2075--2095","ssp126",0.14,0.71,0,115,0.1,49,55,73.95,1,0.8,0.1,0.15,18.8594618725821,195
"ssp126--ACCESS-CM2--2075--2096","ssp126",0.49,0.37,0,97,0.1,47,58,62.33,0,0.2,0.1,0.05,18.610458929067,196
