"","ssp","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"ssp370--AWI-CM-1-1-MR--2075--2087","ssp370",0.07,0.25,0,46,99.62,5.00503311258278,0.266666666666667,0,0.05,0,0.11,0.1,0,0,0.1,0.1,0,0,0.25,0,0.7,12.5249166666667,11.2580833333333,18.4286666666667,17.6122727272727,3387
"ssp370--AWI-CM-1-1-MR--2075--2088","ssp370",0.2,0.45,0,47,104.33,5.37827814569536,0.333333333333333,0,0.35,0,0.19,0,0,0.2,0,0,0,0.25,0,0.15,0.35,13.3905,12.1063333333333,17.413,19.3589393939394,3388
"ssp370--AWI-CM-1-1-MR--2075--2089","ssp370",0.11,0.1,0,46,110.32,5.42675496688742,0.266666666666667,0,0.05,0,0.06,0,0,0,0,0,0,0.2,0.05,0.15,0.2,11.5635,10.9378333333333,13.1201666666667,17.0008823529412,3389
"ssp370--AWI-CM-1-1-MR--2075--2090","ssp370",0.37,1,0,54,101.26,4.40072847682119,0.133333333333333,0,0.05,0,0.09,0.15,0,0,0,0.25,0,0,0,0,0.35,14.0434583333333,11.8019166666667,18.3095,18.1965151515152,3390
"ssp370--AWI-CM-1-1-MR--2075--2091","ssp370",0.31,0.1,0,49,106.2,4.7087417218543,0.166666666666667,0,0.15,0,0.08,0,0,0,0,0,0,0,0,0.15,0.3,11.982875,11.2504166666667,17.0438333333333,17.2201515151515,3391
"ssp370--AWI-CM-1-1-MR--2075--2092","ssp370",0.26,0.7,0,56,97.63,4.7358940397351,0.2,0,0.05,0,0.07,0,0,0,0,0,0,0.35,0.25,0.45,0.45,13.5651666666667,12.41975,16.9286666666667,19.5295454545455,3392
"ssp370--AWI-CM-1-1-MR--2075--2093","ssp370",0.31,0.25,0,51,97.56,4.9353642384106,0.266666666666667,0,0.4,0,0.08,0,0,0.15,0,0.1,0,0.5,0.15,0.15,0.35,13.2042916666667,8.90691666666667,18.6218333333333,19.7842647058824,3393
"ssp370--AWI-CM-1-1-MR--2075--2094","ssp370",0.13,0.45,0,49,96.69,5.49543046357616,0.366666666666667,0,0,0,0.05,0,0,0.1,0.1,0.15,0,0.45,0,0.15,0.4,13.0128333333333,14.28225,18.2741666666667,19.7136363636364,3394
"ssp370--AWI-CM-1-1-MR--2075--2095","ssp370",0.33,0.85,0,63,99.56,5.22185430463576,0.283333333333333,0,0.5,0,0.09,0.05,0,0.4,0,0,0,0.2,0.05,0,0.35,14.8244583333333,9.11916666666667,18.4146666666667,19.7883333333333,3395
"ssp370--AWI-CM-1-1-MR--2075--2096","ssp370",0.11,0.4,0.15,60,94.77,5.29682119205298,0.233333333333333,0,0.05,0,0.05,0.05,0,0,0,0.1,0,0,0.05,0.15,0.4,13.2093333333333,11.3745833333333,16.245,16.8604545454545,3396
