"","id","ssp1","ssp2","ssp3","ssp5"
"marketable_yield_ssp1295","365",5.24100447655909,6.53030237818628,3.64777202389238,3.5584054782553
"marketable_yield_ssp1296","366",8.8477680024195,10.910764197787,10.0013525737637,9.2882381288693
"marketable_yield_ssp1297","367",9.07583653573571,11.3442765355111,10.7026328711899,10.279443850009
"marketable_yield_ssp1298","368",9.72415319167213,11.8993477766267,11.6238570830208,11.3447745538
"marketable_yield_ssp1299","369",10.3876595296174,12.7390006880518,12.3511806997394,12.2499370429465
"marketable_yield_ssp1300","37",12.461067706649,15.6370143035792,16.1566382126558,16.4264885178894
"marketable_yield_ssp1301","370",9.3836804113579,11.4313104437941,10.8919486276943,10.252639130386
"marketable_yield_ssp1302","371",8.9518656149925,10.2672783973194,10.1498276575008,9.64666617801177
"marketable_yield_ssp1303","372",8.32281181725308,10.0488105922849,9.47893065993848,8.92705424436779
"marketable_yield_ssp1304","373",8.882590628199,10.3650174024978,10.5163122272989,10.0013386532177
"marketable_yield_ssp1305","374",9.90106591425526,12.1735813860445,12.4761047049181,12.3500758758584
"marketable_yield_ssp1306","375",11.6136828065783,14.3085711768439,15.3664927108027,15.0701707560155
"marketable_yield_ssp1307","376",13.3123996244121,16.6587473691337,18.157381257569,18.5240512122811
"marketable_yield_ssp1308","377",13.6770037943842,17.6377590464487,19.9457070267667,20.3576340937018
"marketable_yield_ssp1309","378",14.3199758838482,18.4920872631239,21.7652780385187,22.8445142615087
"marketable_yield_ssp1310","379",15.3076220104282,20.1698471168269,23.8354148799709,25.5650400832302
"marketable_yield_ssp1311","38",12.1557760100982,14.8423587193837,15.2357914018276,15.1276803085168
"marketable_yield_ssp1312","380",17.0535602199136,22.3143099328502,26.1610950474192,27.7672229284024
"marketable_yield_ssp1313","381",16.5353694919033,21.9694816623748,25.7727731526285,27.4903312790629
"marketable_yield_ssp1314","382",16.4487148696534,22.1983911480662,27.0664156768946,28.5932529112291
"marketable_yield_ssp1315","383",16.6145221759835,22.6904331602051,26.9010170941863,28.7912178983006
"marketable_yield_ssp1316","384",16.8369096773262,22.6383923758465,27.1265975199618,28.7738799266703
"marketable_yield_ssp1317","385",16.2479275681796,21.9839559361215,26.4213147560452,28.155200627542
"marketable_yield_ssp1318","386",16.1070885522283,21.9559578438836,26.465165217712,28.919477477982
"marketable_yield_ssp1319","387",16.6954589467893,22.989277373718,28.1855912045644,30.6137979863526
"marketable_yield_ssp1320","388",18.5464981081552,25.0895498131014,30.9029852874511,33.6861080941853
"marketable_yield_ssp1321","389",16.7683330561669,23.4454078676716,29.1466326347756,32.5907051259844
"marketable_yield_ssp1322","39",12.0167756471243,14.9434620775287,15.8220211315424,15.9671838561457
"marketable_yield_ssp1323","390",17.3774198737165,23.7163960572158,29.8169838503103,33.1233666319014
"marketable_yield_ssp1324","391",17.3233026298972,23.7505919679699,29.4671540136827,32.7289034700959
"marketable_yield_ssp1325","392",18.375308767205,24.2775022958691,29.7318025253813,31.916226800488
"marketable_yield_ssp1326","393",16.2288313978593,21.4659686585777,26.5383017739679,28.448223361044
"marketable_yield_ssp1327","394",9.62669075379461,10.7851949180139,10.2428733185095,9.35476418484027
"marketable_yield_ssp1328","395",9.69647266635081,11.1353652893631,10.2931396400251,9.91797519053754
"marketable_yield_ssp1329","396",8.52994891568979,9.77134387986145,8.92206459977321,8.07138758998749
"marketable_yield_ssp1330","397",10.0004224464429,11.8915676898596,11.3346960948884,11.0205620275919
"marketable_yield_ssp1331","398",10.059294948497,11.7460126146959,11.7011977754191,11.5328856041873
"marketable_yield_ssp1332","399",9.64151611341546,11.6567706681792,11.4566318160346,10.7473668570883
"marketable_yield_ssp1333","4",11.8335688046309,15.1343346785723,15.5958263738957,16.1456434422425
"marketable_yield_ssp1334","40",12.3578303117895,15.6986911746898,16.9588622125741,17.2702823264584
"marketable_yield_ssp1335","400",10.6293387328102,12.6217150580209,12.55906057092,11.9516221426314
"marketable_yield_ssp1336","401",9.1387346128624,11.0442785568611,10.8507007295111,10.0848136928342
"marketable_yield_ssp1337","402",8.06800752259635,9.70426582422363,9.57872546845861,8.81786662765117
"marketable_yield_ssp1338","403",8.48109742151682,9.68106614792328,9.54521357866981,8.63719129395729
"marketable_yield_ssp1339","404",8.66092207218863,10.0573415182681,10.2583730292678,9.68896636079044
"marketable_yield_ssp1340","405",8.72511891118796,10.7968989671199,10.88950320098,10.7741415244469
"marketable_yield_ssp1341","406",11.3849806730416,14.3690457745368,15.0607360723691,15.745191112769
"marketable_yield_ssp1342","407",13.1557405680653,17.1446516065236,18.5076097377033,19.0815388358694
"marketable_yield_ssp1343","408",14.2257795826962,18.2475448977703,20.7089367497983,21.3514442875575
